csd_code,year,muni_id,MUNID,LOCALID,muni_name,intvoting,paper_ballots_eliminated,adv_only,p_int_votes,no_reg_barrier,cd_csd_code,cd_name,cd_code,subd_name,census_subd_code,pop,area_kmsq,pop_den,p_uni,unemploy,p_65_plus,median_inc,p_imm
58075,2014,m139,58058,58058,Greenstone,1,1,0,0.768,1,3558075,Thunder Bay,3558,Greenstone,75,4264.109589,2766.195068,1.541507191,0.073695915,12.77260274,0.150389154,38747.0137,0.037821909
26065,2014,m141,26065,26065,Grimsby,1,0,0,0.758,1,3526065,Niagara,3526,Grimsby,65,27034.0411,68.96273973,392.0093837,0.152841149,8.215068493,0.185623096,39475.75342,0.148877933
23008,2014,m142,23008,23008,Guelph,1,0,1,0.328,0,3523008,Wellington,3523,Guelph,8,127659.4521,87.30027397,1462.302995,0.154335201,7.119178082,0.136390323,35646.69863,0.208461604
14019,2014,m147,14019,14019,Hamilton Town,1,1,0,0.743,1,3514019,Northumberland,3514,Hamilton,19,10772.60274,256.1616438,42.05392571,0.115920314,10.65342466,0.169576841,34832.46575,0.090090899
2008,2014,m153,2008,2008,Hawkesbury,1,1,0,0.667,1,3502008,Prescott and Russell,3502,Hawkesbury,8,10826.75342,9.465753425,1143.781476,0.058082779,7.808219178,0.269240644,24557.86301,0.039164452
44042,2014,m164,44042,44042,Huntsville,0,0,0,0,1,3544042,Muskoka,3544,Huntsville,42,19704.27397,711.6205479,27.68929878,0.096635113,8.34109589,0.218365837,31948.71233,0.065670494
40040,2014,m165,40015,40015,Huron East,1,1,0,0.826,1,3540040,Huron,3540,Huron East,40,9044.821918,669.2736986,13.51438423,0.061197417,2.85890411,0.189137958,33580.26027,0.057900856
41015,2014,m167,41010,41010,Huron-Kinloss,1,1,0,0.682,1,3541015,Bruce,3541,Huron-Kinloss,15,6995.09589,420.5847945,16.63183259,0.109718074,5.778082192,0.200195687,31971.36986,0.085239377
43017,2014,m170,43017,43017,Innisfil,1,1,0,0.558,1,3543017,Simcoe,3543,Innisfil,17,34783.35616,284.2141096,122.3843398,0.085647034,10.74383562,0.150555034,33499.80822,0.129079657
60010,2014,m179,60011,60011,Kenora,1,1,0,0.843,1,3560010,Kenora,3560,Kenora,10,14991.12329,211.7672603,70.79056162,0.146874491,6.906849315,0.182500502,36923.23288,0.047507651
10010,2014,m185,10005,10005,Kingston,1,0,0,0.261,0,3510010,Frontenac,3510,Kingston,10,125939.2192,451.2768493,279.0730776,0.111920803,8.304109589,0.177592533,34251.69863,0.131886026
37013,2014,m186,37008,37008,Kingsville,1,1,0,0.876,1,3537013,Essex,3537,Kingsville,13,22165.80822,246.8457534,89.79619018,0.091623532,6.973972603,0.182102154,34968,0.133335574
47075,2014,m200,47063,47063,Laurentian Valley,1,0,0,0.6609,1,3547075,Renfrew,3547,Laurentian Valley,75,10016.78082,552.4515068,18.13151145,0.090731686,7.297260274,0.159553603,37102.10959,0.046864951
37003,2014,m201,37003,37003,Leamington,1,1,0,1,1,3537003,Essex,3537,Leamington,3,29319.30137,261.6150685,112.0703847,0.051728292,8.263013699,0.181441452,27316.93151,0.259379163
7021,2014,m202,7019,7019,Leeds and the Thousand Islands,1,0,0,0.633,1,3507021,Leeds and Grenville,3507,Leeds and the Thousand Islands,21,9465.931507,613.3954795,15.43202033,0.095085457,4.760273973,0.197994642,37711.08219,0.077532596
11005,2014,m206,11002,11002,Loyalist,1,0,0,0.516,1,3511005,Lennox and Addington,3511,Loyalist,5,16651.32877,341.1049315,48.81585468,0.07756359,7.765753425,0.190033302,37036.16438,0.076513703
39060,2014,m207,39057,39057,Lucan Biddulph,1,1,0,0.759,1,3539060,Middlesex,3539,Lucan Biddulph,60,4350.630137,169.15,25.72054471,0.142333334,3.412328767,0.131729168,39002.19178,0.061135598
19036,2014,m218,19036,19036,Markham,1,0,1,0.152,0,3519036,York,3519,Markham,36,337676.0685,212.6432877,1587.993076,0.2357696,9.039726027,0.133564599,27348.75342,0.601716355
49031,2014,m225,49031,49031,McDougall,1,1,0,0.728,1,3549031,Parry Sound,3549,McDougall,31,2760.369863,269.0454795,10.25986338,0.124345045,13.45342466,0.203937301,38429.82192,0.03506275
49028,2014,m227,49028,49028,McKellar,1,1,0,0.704,1,3549028,Parry Sound,3549,McKellar,28,1237.342466,181.6186301,6.81286091,0.006368359,0,0.329136069,26979.66667,0.149354006
47003,2014,m229,47003,47003,McNab-Braeside,1,1,0,0.663,1,3547003,Renfrew,3547,McNab/Braeside,3,7609.465753,256.0019178,29.72425292,0.099164226,5.049315068,0.158667435,36746.50685,0.024431738
42047,2014,m230,42047,42047,Meaford,1,1,0,0.751,1,3542047,Grey,3542,Meaford,47,11447.0411,588.3069863,19.45759843,0.108397816,8.475342466,0.255138072,32625.78082,0.087520176
7052,2014,m232,7050,7050,Merrickville-Wolford,1,0,0,0.644,1,3507052,Leeds and Grenville,3507,Merrickville-Wolford,52,2879.315068,214.5656164,13.41927526,0.067860024,3.966666667,0.249833823,31834.33333,0.096114563
39033,2014,m233,39020,39020,Middlesex Centre,1,1,0,0.763,1,3539033,Middlesex,3539,Middlesex Centre,33,17385,588.8943836,29.52142266,0.141767379,4.050684932,0.165701139,42513.94521,0.11316776
46015,2014,m236,46011,46011,Minden Hills,1,0,0,0.587,1,3546015,Haliburton,3546,Minden Hills,15,5808.945205,882.2839726,6.583985866,0.067172466,9.731506849,0.291108976,29819.28767,0.117309185
9030,2014,m239,9030,9030,Mississippi Mills,1,1,0,0.787,1,3509030,Lanark,3509,Mississippi Mills,30,12524.23288,520.9656164,24.04042125,0.142956949,6.436986301,0.195752797,38411.10959,0.080787412
9001,2014,m241,9001,9001,Montague,1,1,0,0.658,1,3509001,Lanark,3509,Montague,1,3423.931507,280.1054795,12.22372198,0.074093634,5.473972603,0.162984646,39101.34247,0.034978228
22016,2014,m246,22016,22016,Mulmur,1,1,0,0.678,1,3522016,Dufferin,3522,Mulmur,16,3527,286.73,12.30077076,0.102595054,5.668493151,0.151045787,30624.75342,0.078482024
1030,2014,m261,1026,1026,North Dundas,1,1,0,0.684,1,3501030,"Stormont, Dundas and Glengarry",3501,North Dundas,30,11289.41096,503.2141096,22.43460734,0.060963948,6.08630137,0.164814052,36945.49315,0.056939658
10045,2014,m262,10041,10041,North Frontenac,1,1,0,0.709,1,3510045,Frontenac,3510,North Frontenac,45,1892.767123,1168.602055,1.619684918,0,2.766666667,0.338670496,26075,0.090755399
1050,2014,m263,1047,1047,North Glengarry,1,1,0,0.7488,1,3501050,"Stormont, Dundas and Glengarry",3501,North Glengarry,50,10224.86301,643.8782192,15.88011942,0.057402539,8.067123288,0.235522972,31391.93151,0.058388587
7065,2014,m264,7055,7055,North Grenville,1,0,0,0.676,1,3507065,Leeds and Grenville,3507,North Grenville,65,15561.49315,352.4139726,44.15685631,0.182055239,6.135616438,0.149478154,42549.16438,0.067644063
39041,2014,m267,39041,39041,North Middlesex,1,1,0,0.688,1,3539041,Middlesex,3539,North Middlesex,41,6554.136986,597.9054795,10.96182793,0.078391275,4.293150685,0.179457798,33957.08219,0.058081357
1042,2014,m270,1037,1037,North Stormont,1,1,0,0.748,1,3501042,"Stormont, Dundas and Glengarry",3501,North Stormont,42,6726.342466,515.6694521,13.0439033,0.080816377,5.823287671,0.137757954,33419.79452,0.039998741
41069,2014,m272,41061,41061,Northern Bruce Peninsula,1,1,0,0.744,1,3541069,Bruce,3541,Northern Bruce Peninsula,69,3873.890411,781.3913699,4.957682616,0.107662159,14.32876712,0.335234388,28139.35616,0.129201007
49032,2014,m287,49032,49032,Parry Sound,1,1,0,0.78,1,3549032,Parry Sound,3549,Parry Sound,32,6066.041096,13.36410959,453.9053691,0.062944398,10.73287671,0.26334027,26752.50685,0.060486253
47064,2014,m290,47064,47064,Pembroke,1,0,0,0.616,1,3547064,Renfrew,3547,Pembroke,64,14672.05479,14.35,1022.442843,0.087701044,6.143835616,0.260472851,29554.83562,0.050113591
43072,2014,m291,43072,43072,Penetanguishene,1,0,0,0.437,1,3543072,Simcoe,3543,Penetanguishene,72,9674.917808,25.60753425,377.8152834,0.069472831,10.11643836,0.230407917,30096.89041,0.076761382
9021,2014,m295,9021,9021,Perth Town,1,1,0,0.706,1,3509021,Lanark,3509,Perth,21,5775.589041,12.50890411,461.7182281,0.143657541,9.167123288,0.306915366,28961.16438,0.066031414
15014,2014,m297,15014,15014,Peterborough,1,0,0,0.378,0,3515014,Peterborough,3515,Peterborough,14,81204.63014,64.41890411,1260.571431,0.126136462,10.03287671,0.213550648,30454.20548,0.090689529
14020,2014,m305,14022,14022,Port Hope,1,0,0,0.369,1,3514020,Northumberland,3514,Port Hope,20,16641.53425,279.0267123,59.6413659,0.106373596,8.542465753,0.225215689,31481.42466,0.09299875
7008,2014,m307,7008,7008,Prescott,1,0,0,0.517,1,3507008,Leeds and Grenville,3507,Prescott,8,4270.630137,4.95,862.753563,0.124366296,0,0.247193252,27305.66667,0.067123935
13020,2014,m308,13002,13002,Prince Edward County,1,0,0,0.216,0,3513020,Prince Edward,3513,Prince Edward County,20,25567.72603,1050.578767,24.33680065,0.108405436,8.728767123,0.272306198,29806.80822,0.083827174
12015,2014,m311,12010,12010,Quinte West,1,0,1,0.214,0,3512015,Hastings,3512,Quinte West,15,43880.32877,491.1475342,89.34245966,0.080372119,6.579452055,0.182102464,32113.60274,0.060264907
47048,2014,m316,47048,47048,Renfrew,1,0,0,0.464,1,3547048,Renfrew,3547,Renfrew,48,8213.726027,12.77,643.2048573,0.083723636,13.48767123,0.262022212,26907.61644,0.045186561
2048,2014,m319,2048,2048,Russell,1,1,0,0.79,1,3502048,Prescott and Russell,3502,Russell,48,16280.17808,199.0736986,81.77965344,0.150351399,4.636986301,0.10445278,47710.26027,0.037884416
49003,2014,m327,49003,49003,Seguin,1,1,0,0.723,1,3549003,Parry Sound,3549,Seguin,3,4281.09589,596.7216438,7.174359996,0.04047732,6.366666667,0.241164044,30447.33333,0.104462358
58028,2014,m331,58028,58028,Shuniah,1,1,0,0.834,1,3558028,Thunder Bay,3558,Shuniah,28,2970.068493,571.2150685,5.199562576,0.161332544,5.849315068,0.221901833,41694.68493,0.051168043
41004,2014,m337,41004,41004,South Bruce,1,1,0,0.72,1,3541004,Bruce,3541,South Bruce,4,5578.863014,487.2721918,11.44917175,0.069560891,5.863013699,0.149335492,29672.43836,0.039949597
1020,2014,m339,1016,1016,South Dundas,1,0,0,0.529,1,3501020,"Stormont, Dundas and Glengarry",3501,South Dundas,20,10686.79452,520.1106849,20.54715435,0.050625836,4.147945205,0.224180245,31793.52055,0.063543712
10020,2014,m340,10013,10013,South Frontenac,1,1,0,0.741,1,3510020,Frontenac,3510,South Frontenac,20,19139.90411,975.8386301,19.6138004,0.097490003,7.065753425,0.150250961,42384.30137,0.062325898
1005,2014,m341,1002,1002,South Glengarry,1,1,0,0.796,1,3501005,"Stormont, Dundas and Glengarry",3501,South Glengarry,5,13304.19178,605.3476712,21.97776982,0.112623683,6.531506849,0.197816211,35462.09589,0.070889395
1011,2014,m344,1009,1009,South Stormont,1,0,0,0.545,1,3501011,"Stormont, Dundas and Glengarry",3501,South Stormont,11,12963.41096,447.5112329,28.96778898,0.078005006,7.601369863,0.17379744,33680.71233,0.066291405
39005,2014,m347,39003,39003,Southwest Middlesex,1,1,0,0.67,1,3539005,Middlesex,3539,Southwest Middlesex,5,5709.753425,427.9768493,13.34126702,0.04531197,8.35890411,0.193046359,26571.08219,0.050173161
43009,2014,m350,43040,43040,Springwater,1,0,0,0.584,1,3543009,Simcoe,3543,Springwater,9,19105.93151,536.220411,35.63074273,0.1351111,8.516438356,0.136673929,36523.30137,0.08919224
11030,2014,m358,11023,11023,Stone Mills,1,0,0,0.503,1,3511030,Lennox and Addington,3511,Stone Mills,30,7691.808219,711.6163014,10.80892639,0.097971319,5.179452055,0.139323065,32792.38356,0.047778816
31011,2014,m359,31011,31011,Stratford,1,1,0,0.906,1,3531011,Perth,3531,Stratford,11,31395.86301,29.11191781,1078.453959,0.115227882,7.275342466,0.195842433,34812.26027,0.111083028
39015,2014,m360,39013,39013,Strathroy-Caradoc,1,1,0,0.776,1,3539015,Middlesex,3539,Strathroy-Caradoc,15,21611.64384,274.4441096,78.74697645,0.074412363,6.252054795,0.194129791,29817.30137,0.112009148
9015,2014,m365,9010,9010,Tay Valley,1,1,0,0.694,1,3509015,Lanark,3509,Tay Valley,15,5673.986301,552.0180822,10.27862399,0.077133693,3.233333333,0.275140549,36395.33333,0.089059861
37048,2014,m366,37043,37043,Tecumseh,1,1,0,0.819,1,3537048,Essex,3537,Tecumseh,48,23019.0137,79.95849315,287.8870373,0.113564935,9.976712329,0.164903341,39296.64384,0.173008946
39027,2014,m371,39025,39025,Thames Centre,1,1,0,0.733,1,3539027,Middlesex,3539,Thames Centre,27,13340.46575,433.9705479,30.74048646,0.106085737,4.817808219,0.153542722,35448.0411,0.112479737
49005,2014,m372,49005,49005,The Archipelago,1,1,0,0.744,1,3549005,Parry Sound,3549,The Archipelago,5,605.4794521,606.9652055,0.99755216,0,0,0.270679364,17209.33333,0.253192506
2025,2014,m373,2011,2011,The Nation,1,1,0,0.63,1,3502025,Prescott and Russell,3502,The Nation,25,11833.72603,658.0571233,17.98282491,0.095605679,6.208219178,0.116390611,42643.78082,0.01801779
56027,2014,m379,56027,56027,Timmins,1,0,0,0.4414,0,3556027,Cochrane,3556,Timmins,27,42791.60274,2981.59137,14.35193406,0.090095403,4.968493151,0.151197645,35808.30137,0.036055801
43064,2014,m392,43064,43064,Wasaga Beach,1,1,0,0.8122,1,3543064,Simcoe,3543,Wasaga Beach,64,19382.20548,58.41849315,331.7820169,0.106984146,8.330136986,0.314080695,27869.35616,0.194648259
34042,2014,m398,34035,34035,West Elgin,1,0,0,0.476,1,3534042,Elgin,3534,West Elgin,42,5064.534247,322.52,15.70300833,0.043049196,7.505479452,0.197371226,25598.56164,0.108564748
31025,2014,m402,31017,31017,West Perth,1,1,0,0.812,1,3531025,Perth,3531,West Perth,25,8763.109589,579.4227397,15.12386206,0.085459429,4.463013699,0.163711759,35840.54795,0.070960818
49039,2014,m407,49039,49039,Whitestone,1,0,0,0.366,1,3549039,Parry Sound,3549,Whitestone,39,1004.493151,958.9868493,1.047452477,0.040396713,17.14383562,0.315685254,25659.30137,0.083731018
47056,2014,m408,47050,47050,Whitewater Region,1,0,0,0.722,1,3547056,Renfrew,3547,Whitewater Region,56,7024.589041,537.96,13.0578278,0.062885211,7.524657534,0.18774374,30019.86301,0.048769279
