csd_code,year,muni_id,MUNID,LOCALID,muni_name,intvoting,paper_ballots_eliminated,adv_only,p_int_votes,no_reg_barrier,cd_csd_code,cd_name,cd_code,subd_name,census_subd_code,pop,area_kmsq,pop_den,p_uni,unemploy,p_65_plus,median_inc,p_imm
14019,2000,m147,14019,14019,Hamilton Town,0,0,0,0,0,3514019,Northumberland County,3514,Hamilton,19,10785,256.04,42.12232464,0.105093488,5.1,0.114510895,25751,0.086694483
2008,2000,m153,2008,2008,Hawkesbury,0,1,0,0,0,3502008,Prescott and Russell United Counties,3502,Hawkesbury,8,10314,9.45,1091.428571,0.074967405,8.3,0.158037619,16778,0.035874439
44042,2000,m164,44042,44042,Huntsville,0,0,0,0,0,3544042,Muskoka District Municipality,3544,Huntsville,42,17338,703.29,24.65270372,0.128531635,4.3,0.154285385,20326,0.075300322
40040,2000,m165,40015,40015,Huron East,0,0,0,0,0,3540040,Huron County,3540,Huron East,40,9680,669.16,14.46589754,0.068832173,5.1,0.131198347,20695,0.071466384
41015,2000,m167,41010,41010,Huron-Kinloss,0,1,0,0,0,3541015,Bruce County,3541,Huron-Kinloss,15,6224,475.44,13.09103147,0.098976109,2.9,0.162275064,19498,0.097640358
43017,2000,m170,43017,43017,Innisfil,0,0,0,0,0,3543017,Simcoe County,3543,Innisfil,17,28666,284.18,100.8726863,0.071587262,4.2,0.127677388,26211,0.121678322
60010,2000,m179,60011,60011,Kenora,0,1,0,0,0,3560010,Kenora District,3560,Kenora,10,15838,211.08,75.03316278,0.111306643,8.5,0.145220356,25333,0.061257216
10010,2000,m185,10005,10005,Kingston,0,0,0,0,0,3510010,Frontenac County,3510,Kingston,10,114195,450.39,253.546926,0.22533532,7.5,0.137571698,22948,0.142368457
37013,2000,m186,37008,37008,Kingsville,0,0,0,0,0,3537013,Essex County,3537,Kingsville,13,19619,246.83,79.48385529,0.11218638,4.2,0.119272134,23278,0.183324702
47075,2000,m200,47063,47063,Laurentian Valley,0,0,0,0,0,3547075,Renfrew County,3547,Laurentian Valley,75,8733,552.42,15.80862387,0.090189873,6.3,0.125386465,21742,0.042382589
37003,2000,m201,37003,37003,Leamington,0,1,0,0,0,3537003,Essex County,3537,Leamington,3,27138,262.45,103.4025529,0.069396437,4.5,0.130628639,20527,0.309295775
7021,2000,m202,7019,7019,Leeds and the Thousand Islands,0,1,0,0,0,3507021,Leeds and Grenville United Counties,3507,Leeds and the Thousand Islands,21,9069,606.91,14.94290752,0.116091109,6.8,0.14444812,23160,0.067552602
11005,2000,m206,11002,11002,Loyalist,0,0,0,0,0,3511005,Lennox and Addington County,3511,Loyalist,5,14590,340.15,42.89284139,0.109209864,5.3,0.115490062,24185,0.094941349
39060,2000,m207,39057,39057,Lucan Biddulph,0,0,0,0,0,3539060,Middlesex County,3539,Lucan Biddulph,60,4201,169.15,24.83594443,0.095818815,3.7,0.096405618,23618,0.069711538
19036,2000,m218,19036,19036,Markham,0,0,0,0,0,3519036,York Regional Municipality,3519,Markham,36,208615,212.47,981.8562621,0.286248057,5.4,0.091508281,25290,0.536476868
49031,2000,m225,49031,49031,McDougall,0,0,0,0,0,3549031,Parry Sound District,3549,McDougall,31,2608,262.73,9.926540555,0.113157895,3.7,0.166794479,18825,0.07293666
49028,2000,m227,49028,49028,McKellar,0,0,0,0,0,3549028,Parry Sound District,3549,McKellar,28,933,177.48,5.256930358,0.08496732,4,0.139335477,16986,0.083333333
47003,2000,m229,47003,47003,McNab-Braeside,0,0,0,0,0,3547003,Renfrew County,3547,McNab/Braeside,3,6843,253.86,26.95580241,0.102926337,5.6,0.115446442,25462,0.07032967
42047,2000,m230,42047,42047,Meaford,0,1,0,0,0,3542047,Grey County,3542,Georgian Highlands,47,10381,589.03,17.62389012,0.134529148,4.6,0.180136788,21002,0.094588006
7052,2000,m232,7050,7050,Merrickville-Wolford,0,1,0,0,0,3507052,Leeds and Grenville United Counties,3507,Merrickville-Wolford,52,2812,213.81,13.1518638,0.169230769,3.5,0.131578947,26106,0.092278719
39033,2000,m233,39020,39020,Middlesex Centre,0,1,0,0,0,3539033,Middlesex County,3539,Middlesex Centre,33,14242,586.78,24.27144756,0.19037871,3.5,0.111290549,29316,0.116497829
46015,2000,m236,46011,46011,Minden Hills,0,1,0,0,0,3546015,Haliburton County,3546,Minden Hills,15,5312,847.85,6.265259185,0.080487805,4.3,0.224962349,17397,0.10952381
9030,2000,m239,9030,9030,Mississippi Mills,0,0,0,0,0,3509030,Lanark County,3509,Mississippi Mills,30,11647,509.05,22.87987428,0.173053152,4.1,0.118485447,29133,0.074351078
9001,2000,m241,9001,9001,Montague,0,0,0,0,0,3509001,Lanark County,3509,Montague,1,3671,277.04,13.25079411,0.035555556,3.6,0.096703895,21664,0.067398119
22016,2000,m246,22016,22016,Mulmur,0,1,0,0,0,3522016,Dufferin County,3522,Mulmur,16,3099,286.73,10.80807729,0.171171171,3.5,0.116166505,28577,0.124797407
1030,2000,m261,1026,1026,North Dundas,0,1,0,0,0,3501030,"Stormont, Dundas and Glengarry United Counties",3501,North Dundas,30,11014,503.18,21.88878731,0.096816114,4.6,0.126203014,24085,0.058850575
10045,2000,m262,10041,10041,North Frontenac,0,1,0,0,0,3510045,Frontenac County,3510,North Frontenac,45,1801,1135.92,1.585498979,0.106164384,13.5,0.263742365,15001,0.102777778
1050,2000,m263,1047,1047,North Glengarry,0,0,0,0,0,3501050,"Stormont, Dundas and Glengarry United Counties",3501,North Glengarry,50,10589,642.38,16.48401258,0.079448457,5.4,0.159127396,18644,0.067185979
7065,2000,m264,7055,7055,North Grenville,0,0,0,0,0,3507065,Leeds and Grenville United Counties,3507,North Grenville,65,13581,350.14,38.78734221,0.142182581,4.5,0.103453354,27157,0.078299776
39041,2000,m267,39041,39041,North Middlesex,0,0,0,0,0,3539041,Middlesex County,3539,North Middlesex,41,6901,597.86,11.54283612,0.076591154,3.2,0.107955369,23541,0.092798812
